param: P:person:=
p0 3
p1 8
p2 6
p3 10
p4 1

param: O:supply:=
o0 19
o1 16
o2 17
o3 13
o4 17;

param: D:demand:=
d0 18
d1 12
d2 20
d3 16
d4 16;

param :cost:=
p1 o6 3
p1 o7 7
p1 o8 4
p1 o9 6
p1 o10 4
p2 o6 5
p2 o7 4
p2 o8 1
p2 o9 2
p2 o10 7
p3 o6 3
p3 o7 1
p3 o8 5
p3 o9 8
p3 o10 7
p4 o6 2
p4 o7 8
p4 o8 5
p4 o9 1
p4 o10 1
p5 o6 6
p5 o7 6
p5 o8 5
p5 o9 7
p5 o10 10
o6 d11 5
o6 d12 10
o6 d13 5
o6 d14 6
o6 d15 7
o7 d11 1
o7 d12 7
o7 d13 9
o7 d14 1
o7 d15 2
o8 d11 8
o8 d12 1
o8 d13 4
o8 d14 6
o8 d15 7
o9 d11 5
o9 d12 8
o9 d13 6
o9 d14 4
o9 d15 1
o10 d11 3
o10 d12 1
o10 d13 6
o10 d14 1
o10 d15 6
d11 o6 6
d11 o7 4
d11 o8 5
d11 o9 3
d11 o10 9
d12 o6 5
d12 o7 10
d12 o8 5
d12 o9 9
d12 o10 2
d13 o6 7
d13 o7 3
d13 o8 7
d13 o9 9
d13 o10 6
d14 o6 9
d14 o7 7
d14 o8 3
d14 o9 2
d14 o10 4
d15 o6 6
d15 o7 9
d15 o8 1
d15 o9 10
d15 o10 6
d11 p1 6
d11 p2 4
d11 p3 1
d11 p4 10
d11 p5 1
d12 p1 10
d12 p2 10
d12 p3 5
d12 p4 9
d12 p5 10
d13 p1 6
d13 p2 9
d13 p3 2
d13 p4 5
d13 p5 2
d14 p1 9
d14 p2 7
d14 p3 6
d14 p4 10
d14 p5 10
d15 p1 4
d15 p2 7
d15 p3 5
d15 p4 3
d15 p5 2;
